recipe_id,step_nb,description
1,1,"In a large mixing bowl, whisk together the flour and the eggs. Gradually add in the milk and water,  beat until smooth. Add the salt and melted butter."
1,2,"Heat a lightly oiled griddle or frying pan over medium high heat. Pour or scoop the batter onto the griddle, using approximately 1/4 cup for each crepe. Tilt the pan with a circular motion so that the batter coats the surface evenly."
1,3,"Cook the crepe for about 2 minutes, until the bottom is light brown. Loosen with a spatula, turn and cook the other side. Serve hot."
2,1,"Preheat the oven to 180�C"
2,2,"Peel the zucchinis and grate them with a grater"
2,3,"In a medium mixing bowl, break the chocolate. Melt it in microwave or bain-marie"
2,4,"In a large mixing bowl, whisk the eggs and powdered sugar. No need to wait until the liquid turns white."
2,5,"Add the grated zzucharies and the melted dark chocolate into the bowl. Then mix it together with the spatula"
2,6,"Add the wheat flour, gluten-free baking powder and hazelnut powder. Carefoully mix with the spatula."
2,7,"Pour the preparation in the mould, and cook it in the oven for 35 minutes."
2,8," Slide a knife blade around the edge of the cake and carefully remove from the mould. Leave to cool, and taste it!"
3,1,"Pour  the flour and baked flour in a large mixing bowl. Add the powdered sugar and a pinch of cinnamon. Mix with a spatula."
3,2,"Make a well in the center. Add the colza oil and soybean milk. Knead until you get an elastic bowl."
3,3,"Lay the pastry in the mould. Preheat the oven to 180�C."
3,4,"Peel and cut half of the apples in slides. Heat the other apples with some water and powdered sugar until it turns into a compote."
3,5,"Lay the compote and the apple slides on the pastry. Cook it in the oven for 35 minutes."
3,6,"Leave to cool, and taste it!"
